                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3015,                 4.0739,                 1.2441,                0.43998,                0.39655,                0.42842,                0.29771,                 1.0582,                 5.7545,                 1.0012,                0.00024,                0.00024,                0.00024
                      2,                 1.2436,                 1.5212,                 1.0225,                0.84608,                0.58621,                0.61349,                0.40748,                 1.0424,                 2.4819,                 1.0076,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.1626,                 1.1672,                 1.0441,                0.62132,                0.63793,                0.48518,                0.19659,                 1.4206,                 2.7076,                 1.1312,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.3112,                 1.1332,                 1.1373,                0.54316,                0.46552,                0.41641,                0.18354,                 1.5838,                 2.5558,                 1.3147,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.3197,                 1.0344,                 1.1045,                0.03593,                 0.7069,                0.02855,                0.01319,                 1.6027,                 468.37,                 1.2701,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2833,                 1.0349,                 1.1139,                0.46237,                0.37931,                0.37924,                0.20117,                 1.6081,                 1.9127,                 1.3822,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.2845,                 1.0195,                 1.0698,                0.30846,                0.22414,                0.16957,                0.10004,                 1.6258,                 2.9592,                 1.2736,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.2997,                0.99369,                 1.0832,                0.29403,                0.10345,                0.09047,                0.05652,                 1.7418,                 5.1604,                 1.5173,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2476,                0.92377,                 1.1066,                0.18138,                0.13793,                0.08601,                0.04461,                 2.3377,                 4.5538,                 1.8074,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3108,                0.86636,                 1.1254,                0.15836,                0.36207,                0.13224,                0.05764,                 1.8401,                  4.483,                 1.5786,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2589,                0.87603,                 1.0879,                0.36201,                0.39655,                0.27694,                0.15065,                 1.5805,                 1.6643,                 1.3563,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2355,                0.85166,                 1.1128,                0.37342,                0.34483,                0.19726,                0.11225,                 1.4658,                 3.7089,                 1.2612,               0.001604,               0.001604,               0.001604
                     13,                 1.2621,                0.85754,                 1.0686,                0.74064,                0.39655,                0.50062,                0.25527,                  1.739,                 1.6226,                 1.3519,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2425,                0.88915,                 1.0594,                0.77138,                0.48276,                0.54894,                0.24454,                 1.9546,                 1.6474,                 1.4597,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.199,                0.82838,                 1.0723,                0.77337,                0.46552,                0.49256,                0.28161,                  1.532,                 1.5252,                 1.5021,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2193,                0.81525,                 1.0673,                0.00233,                0.18966,                0.00122,                0.00071,                   1.86,                 142.92,                 2.0049,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1396,                0.77608,                 1.0616,                0.91032,                0.62069,                0.72174,                0.45113,                  1.193,                0.90865,                 1.1208,               0.001406,               0.001406,               0.001406
                     18,                 1.1425,                 0.7455,                 1.0876,                0.76262,                0.63793,                0.72606,                0.45513,                 1.3095,                0.93386,                 1.1646,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1269,                0.74169,                 1.0602,                0.82744,                0.53448,                0.67849,                0.40536,                 1.2344,                 0.9174,                 1.0971,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1573,                0.73145,                 1.0398,                0.83792,                 0.7069,                0.76975,                0.46558,                 1.2641,                0.93359,                 1.1749,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1147,                0.75837,                 1.0582,                0.95906,                0.60345,                 0.7138,                0.45382,                 1.2776,                0.95795,                 1.2418,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.091,                0.71152,                 1.0193,                0.91966,                0.59218,                0.69926,                0.42503,                 1.1899,                0.92173,                 1.1887,               0.001208,               0.001208,               0.001208
                     23,                 1.0586,                 0.7459,                 1.0224,                0.80681,                0.67241,                0.76448,                0.46962,                 1.2003,                0.74301,                  1.129,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0801,                0.71812,                 1.0612,                0.97642,                0.71398,                0.81537,                0.47791,                 1.2947,                0.71184,                 1.1641,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.022,                0.66438,                0.99035,                0.63077,                0.44191,                0.42958,                0.29085,                  1.571,                 1.4178,                 1.3992,              0.0010892,              0.0010892,              0.0010892
                     26,                0.96816,                0.65394,                0.98041,                0.81099,                0.66589,                0.69217,                0.39885,                 1.4132,                 1.0291,                 1.2476,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0477,                0.64949,                0.98909,                0.77425,                0.76881,                0.78974,                0.51142,                 1.0838,                0.65396,                 1.0993,                0.00101,                0.00101,                0.00101
                     28,                 1.0347,                  0.639,                  0.994,                 0.9486,                0.63646,                 0.8001,                0.51646,                 1.0539,                0.64397,                 1.0684,              0.0009704,              0.0009704,              0.0009704
                     29,                0.91802,                0.60158,                0.96603,                0.91584,                0.75055,                0.84729,                0.55848,                 1.0103,                0.58713,                 1.0835,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.9391,                0.60643,                0.99331,                0.95734,                0.65517,                0.79717,                0.51934,                 1.1667,                0.62092,                 1.1284,              0.0008912,              0.0008912,              0.0008912
                     31,                0.97671,                0.59229,                0.96568,                0.85995,                0.74138,                0.81676,                0.52417,                 1.1093,                0.63873,                 1.0644,              0.0008516,              0.0008516,              0.0008516
                     32,                0.94245,                0.59367,                0.96134,                  0.845,                0.74138,                0.79449,                0.54847,                 1.0738,                0.60751,                 1.0124,               0.000812,               0.000812,               0.000812
                     33,                0.93166,                0.57251,                0.97696,                0.86827,                0.79551,                0.86339,                0.56928,                 1.0082,                0.55467,                0.98987,              0.0007724,              0.0007724,              0.0007724
                     34,                0.89812,                0.55034,                0.94279,                0.95811,                0.78874,                0.86518,                0.58455,                0.98562,                0.53493,                0.99117,              0.0007328,              0.0007328,              0.0007328
                     35,                0.84533,                0.51213,                0.92132,                0.83234,                0.81034,                0.86723,                0.58305,                0.99526,                0.56455,                0.99524,              0.0006932,              0.0006932,              0.0006932
                     36,                 0.9217,                0.56418,                0.95687,                0.87957,                0.77586,                0.86251,                0.57966,                 1.0204,                0.55929,                 1.0014,              0.0006536,              0.0006536,              0.0006536
                     37,                0.84675,                0.54158,                0.95893,                0.93133,                0.82759,                0.86863,                0.59275,                0.96957,                0.55797,                0.98807,               0.000614,               0.000614,               0.000614
                     38,                0.86309,                0.52115,                0.94688,                0.92137,                0.80816,                0.85422,                0.58647,                0.97741,                0.55502,                 1.0069,              0.0005744,              0.0005744,              0.0005744
                     39,                0.80533,                0.49284,                0.92017,                  0.885,                0.77586,                0.86103,                0.55742,                 1.0238,                0.52449,                 1.0061,              0.0005348,              0.0005348,              0.0005348
                     40,                0.84457,                0.53633,                0.94866,                0.89162,                0.75862,                0.83143,                0.56565,                 1.0303,                0.56272,                 1.0124,              0.0004952,              0.0004952,              0.0004952
                     41,                0.84025,                0.51062,                  0.935,                0.94265,                0.74138,                0.82864,                 0.5608,                 1.0051,                0.55397,                 1.0123,              0.0004556,              0.0004556,              0.0004556
                     42,                0.80209,                0.49066,                0.93211,                0.91941,                0.78688,                0.84905,                0.57956,                  1.012,                0.53766,                 1.0076,               0.000416,               0.000416,               0.000416
                     43,                0.77496,                0.46799,                0.89197,                 0.9377,                0.82759,                0.86181,                0.59193,                0.99657,                 0.5201,                 1.0043,              0.0003764,              0.0003764,              0.0003764
                     44,                0.82426,                0.48979,                0.92358,                 0.9245,                0.81034,                  0.852,                0.58927,                 1.0006,                0.51458,                0.99864,              0.0003368,              0.0003368,              0.0003368
                     45,                0.72206,                0.44047,                0.89229,                0.92297,                0.82634,                0.86773,                0.58193,                0.99497,                0.51476,                0.98858,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.7633,                0.45496,                0.88435,                 0.9517,                0.81034,                 0.8725,                0.60497,                 0.9671,                0.51366,                0.98983,              0.0002576,              0.0002576,              0.0002576
                     47,                 0.7163,                 0.4284,                0.91091,                0.90123,                 0.7931,                0.85646,                0.59158,                0.97029,                 0.5202,                 1.0105,               0.000218,               0.000218,               0.000218
                     48,                0.70855,                0.40571,                0.91599,                0.91835,                0.81034,                0.87841,                0.60619,                 0.9218,                0.50173,                0.98741,              0.0001784,              0.0001784,              0.0001784
                     49,                0.71829,                0.40538,                0.87279,                0.90443,                0.81593,                0.87715,                0.62449,                0.90744,                0.48844,                0.97365,              0.0001388,              0.0001388,              0.0001388
                     50,                0.70627,                0.43967,                0.89504,                0.90516,                0.82283,                0.87934,                0.61893,                0.90269,                0.48888,                0.96745,               9.92e-05,               9.92e-05,               9.92e-05
